subject,phase,time,ear
dahyun,trial4,1784601274.0498247,0.11791417755253317
dahyun,trial4,1784601274.088088,0.1931728121870091
dahyun,trial4,1784601274.126291,0.2640904511711265
dahyun,trial4,1784601274.1669447,0.3119376007590322
dahyun,trial4,1784601274.2057996,0.3414533775604763
dahyun,trial4,1784601274.2459445,0.358371211243123
dahyun,trial4,1784601274.2842042,0.3680579144369693
dahyun,trial4,1784601274.3228703,0.37407989584543005
dahyun,trial4,1784601274.360841,0.3775989204589242
dahyun,trial4,1784601274.3989105,0.37978266256679827
dahyun,trial4,1784601274.437613,0.3813082490911929
dahyun,trial4,1784601274.4749188,0.3821460162139668
dahyun,trial4,1784601274.512781,0.38257583913183035
dahyun,trial4,1784601274.5493472,0.38270347034395236
dahyun,trial4,1784601274.5872095,0.3827827225578178
dahyun,trial4,1784601274.6264205,0.382789184394123
dahyun,trial4,1784601274.664139,0.38261504206419955
dahyun,trial4,1784601274.7039902,0.3824435672344159
dahyun,trial4,1784601274.7415836,0.3824500967389594
dahyun,trial4,1784601274.7800217,0.3826335541760852
dahyun,trial4,1784601274.819499,0.38305475429580865
dahyun,trial4,1784601274.8592603,0.38349246368479706
dahyun,trial4,1784601274.8972046,0.3841855693347828
dahyun,trial4,1784601274.9349046,0.38421711191339336
dahyun,trial4,1784601274.972255,0.3841251299557405
dahyun,trial4,1784601275.0099208,0.38391463860196445
dahyun,trial4,1784601275.0480626,0.3837790331714953
dahyun,trial4,1784601275.0869725,0.38348265939960324
dahyun,trial4,1784601275.1269135,0.38019883922878306
dahyun,trial4,1784601275.1636693,0.3785345076773004
dahyun,trial4,1784601275.2016842,0.37923559438317134
dahyun,trial4,1784601275.2389197,0.37950147558769076
dahyun,trial4,1784601275.2765222,0.3798053268977154
dahyun,trial4,1784601275.3144112,0.3793751560579867
dahyun,trial4,1784601275.3516948,0.3784710220501164
dahyun,trial4,1784601275.3901908,0.3774060977521594
dahyun,trial4,1784601275.4287515,0.3766321331671695
dahyun,trial4,1784601275.4660747,0.37661562864202197
dahyun,trial4,1784601275.5028405,0.37594678009244276
dahyun,trial4,1784601275.5417516,0.3765935669747211
dahyun,trial4,1784601275.5794647,0.37849569879096295
dahyun,trial4,1784601275.619333,0.378512116271218
dahyun,trial4,1784601275.6591878,0.3776889219571453
dahyun,trial4,1784601275.698584,0.3774549808885943
dahyun,trial4,1784601275.738009,0.37686627022351127
dahyun,trial4,1784601275.776678,0.37368578214842796
dahyun,trial4,1784601275.8155677,0.37061714656536626
dahyun,trial4,1784601275.8521016,0.36822726415292156
dahyun,trial4,1784601275.889114,0.3650363319367037
dahyun,trial4,1784601275.9256716,0.36289518693146716
dahyun,trial4,1784601275.9631047,0.3541992481846749
dahyun,trial4,1784601275.999187,0.3238203629966445
dahyun,trial4,1784601276.0370803,0.3076969833288393
dahyun,trial4,1784601276.0733879,0.3124425911749745
dahyun,trial4,1784601276.1122372,0.3216974334678747
dahyun,trial4,1784601276.1509023,0.3296288091536966
dahyun,trial4,1784601276.1896663,0.3352133049366929
dahyun,trial4,1784601276.2269194,0.3393027394985091
dahyun,trial4,1784601276.2647593,0.3424664618588491
dahyun,trial4,1784601276.3020267,0.344240270666723
dahyun,trial4,1784601276.3399444,0.34524369813656014
dahyun,trial4,1784601276.378858,0.34622953119088784
dahyun,trial4,1784601276.417854,0.34702832384637805
dahyun,trial4,1784601276.458852,0.3480177817444182
dahyun,trial4,1784601276.496458,0.34869272607781315
dahyun,trial4,1784601276.5359948,0.349850912833391
dahyun,trial4,1784601276.5734088,0.3510614871502976
dahyun,trial4,1784601276.6120281,0.35191115197801326
dahyun,trial4,1784601276.6500647,0.35266835755252257
dahyun,trial4,1784601276.6903405,0.35312234485008853
dahyun,trial4,1784601276.7279189,0.3533918638020186
dahyun,trial5,1784601278.3014739,0.3566614205176896
dahyun,trial5,1784601278.3395793,0.35707739831281504
dahyun,trial5,1784601278.3784776,0.35735516538500545
dahyun,trial5,1784601278.4160619,0.35724923387990415
dahyun,trial5,1784601278.4549153,0.35698560337476487
