frame,read,detect,crop,infer,e2e_ms,output
302,0.9662,7.8281,0.5653,2.2422,11.6018,0.494582
303,0.8973,7.7817,0.5667,2.2739,11.5196,0.457656
304,0.9544,7.8898,0.5705,2.267,11.6818,0.107806
305,0.9721,7.7465,0.5736,2.2558,11.548,0.038341
306,0.9625,7.7587,0.5688,2.2755,11.5655,0.052701
307,0.9017,7.7649,0.565,2.2776,11.5093,0.075984
308,0.9344,7.7985,0.5559,2.2343,11.5232,0.101924
309,0.999,7.7313,0.5741,2.2356,11.54,0.064031
310,1.0117,7.7717,0.5678,2.2368,11.588,0.068611
311,0.9212,7.8333,0.5952,2.2476,11.5973,0.040478
312,0.9361,8.0745,0.5958,2.2439,11.8503,0.07139
313,0.9626,7.7821,0.5573,2.2487,11.5506,0.233864
314,0.9707,7.8645,0.5711,2.2622,11.6685,0.244242
315,0.8919,7.8413,0.5718,2.2807,11.5858,0.230923
316,0.9392,7.8504,0.5683,2.268,11.6259,0.265761
317,0.98,7.7532,0.5769,2.2709,11.581,0.239091
318,0.968,7.7831,0.568,2.2628,11.582,0.248606
319,0.9008,7.7623,0.573,2.2724,11.5085,0.152629
320,0.9528,7.8497,0.5487,2.2202,11.5714,0.174193
321,1.0013,7.7791,0.5697,2.2232,11.5732,0.038539
322,0.9904,7.7834,0.5638,2.2093,11.5469,0.028377
323,0.9136,7.7328,0.6016,2.2373,11.4853,0.028982
324,0.9408,7.782,0.569,2.2543,11.5462,0.029411
325,0.9665,7.7485,0.5553,2.4474,11.7177,0.034742
326,0.9852,7.7396,0.5683,2.2662,11.5593,0.036832
327,0.893,8.267,0.5702,2.2743,12.0045,0.034173
328,0.9401,7.7791,0.5692,2.2593,11.5478,0.030348
329,0.9773,7.7343,0.568,2.279,11.5586,0.03534
330,0.9611,7.7354,0.5635,2.3161,11.5761,0.033471
331,0.8962,7.74,0.5711,2.2331,11.4403,0.030397
332,0.9796,7.7838,0.5641,2.2195,11.5469,0.022353
333,1.0088,7.7006,0.5578,2.219,11.4862,0.021395
334,0.9878,7.7884,0.5732,2.2503,11.5996,0.022868
335,0.9012,7.789,0.5623,2.2608,11.5133,0.02706
336,0.9401,7.8729,0.5647,2.2607,11.6384,0.031697
337,0.9572,7.7506,0.567,2.2647,11.5395,0.028348
338,0.9708,8.0588,0.5602,2.2595,11.8494,0.024999
339,0.9026,7.7465,0.567,2.2625,11.4786,0.019549
340,0.9348,7.7865,0.5734,2.2992,11.5939,0.025105
341,0.9664,7.7875,0.5743,2.2875,11.6158,0.036219
342,0.9654,7.8547,0.6841,2.5975,12.1018,0.03375
343,0.9633,7.9098,0.5703,2.2816,11.7251,0.033064
344,0.9425,7.8963,0.5693,2.2399,11.648,0.022303
345,1.0014,7.7475,0.5761,2.2389,11.564,0.017736
346,0.9978,7.8377,0.5669,2.2354,11.6378,0.022253
347,0.982,7.7384,0.5839,2.2327,11.537,0.028076
348,0.9456,7.888,0.604,2.2258,11.6634,0.030126
349,0.9532,7.7578,0.558,2.2552,11.5241,0.033499
350,0.9656,7.7892,0.5603,2.2482,11.5633,0.023484
351,0.9211,8.3082,0.5625,2.237,12.0289,0.013407
352,0.9597,7.8528,0.5725,2.2599,11.6449,0.023389
353,0.9549,7.7301,0.5686,2.2529,11.5064,0.024031
354,0.9614,7.8264,0.5661,2.2692,11.6231,0.031253
355,0.9281,7.8195,0.5678,2.2717,11.5871,0.030681
356,0.9628,7.8258,0.5633,2.2654,11.6173,0.034034
357,0.9708,7.778,0.5748,2.2465,11.57,0.023824
358,0.9982,7.8066,0.5586,2.2339,11.5973,0.024917
359,0.9457,7.7155,0.5677,2.2413,11.4703,0.023355
360,0.9612,7.8773,0.5834,2.2486,11.6705,0.019098
361,0.9601,7.7276,0.563,2.2626,11.5134,0.028748
362,0.9639,7.7814,0.5586,2.2749,11.5788,0.02369
363,0.9296,7.8018,0.5647,2.2526,11.5487,0.023882
364,0.9534,7.7867,0.5632,2.2534,11.5566,0.017513
