frame,read,detect,crop,infer,e2e_ms,output
264,0.9287,7.8361,4.4124,2.337,15.5142,0.00891
265,0.9591,7.7513,4.3914,2.2948,15.3965,0.015589
266,0.993,7.8005,4.4029,2.3016,15.498,0.010107
267,0.9353,7.8136,4.4138,2.3109,15.4737,0.006263
268,0.9262,7.7765,4.3715,2.3209,15.3951,0.013109
269,0.9364,7.8517,4.4852,2.3138,15.5871,0.012203
270,0.954,7.8187,4.38,2.3417,15.4943,0.013339
271,0.9088,7.8402,4.4256,2.3472,15.5219,0.013512
272,0.9483,7.749,4.4085,2.3278,15.4336,0.012392
273,0.9425,7.8199,4.4693,2.3422,15.5739,0.012113
274,0.9417,7.7873,4.4039,2.2977,15.4306,0.013643
275,0.9353,7.8219,4.4493,2.2937,15.5001,0.011442
276,0.9434,7.7666,4.3548,2.3005,15.3653,0.013849
277,0.9666,7.8495,4.3987,2.3162,15.531,0.011691
278,0.9637,7.6963,4.3751,2.3227,15.3578,0.012774
279,0.9192,7.9252,4.4271,2.3325,15.604,0.014433
280,0.9243,7.795,4.4036,2.3475,15.4704,0.015055
281,0.9444,7.8884,4.4359,2.3465,15.6152,0.011725
282,0.9543,7.8218,4.418,2.3339,15.528,0.013753
283,0.9277,7.9002,4.4177,2.3032,15.5487,0.011101
284,0.9413,7.7956,4.4057,2.3035,15.4461,0.010261
285,0.9953,8.078,4.4359,2.307,15.8162,0.010945
286,0.9759,7.797,4.3734,2.2965,15.4427,0.010432
287,0.9088,7.8091,4.393,2.3224,15.4333,0.007005
288,0.9307,7.7929,4.4263,2.3181,15.4681,0.013062
289,0.9596,7.8123,4.3835,2.3568,15.5123,0.009554
290,0.9488,7.8353,4.3705,2.3445,15.4991,0.009553
291,0.9307,7.8823,4.4769,2.3294,15.6193,0.00959
292,0.9138,7.8373,4.3873,2.305,15.4434,0.009709
293,0.978,7.8007,4.4407,2.2959,15.5153,0.00871
294,0.9791,7.8359,4.3835,2.3004,15.4989,0.010493
295,0.9045,7.8882,4.4563,2.3044,15.5534,0.903668
296,0.9261,7.8224,4.368,2.3213,15.4377,0.999993
297,0.9508,7.8252,4.422,2.3298,15.5278,0.999994
298,0.9561,7.7722,4.4565,2.3205,15.5053,0.999946
299,0.9157,7.7841,4.4779,2.3432,15.5209,0.9986
300,0.9485,7.8006,4.3744,2.3411,15.4647,0.990338
301,0.9398,7.8189,4.4136,2.3066,15.4788,0.600672
302,0.9722,7.8692,4.3552,2.3046,15.5011,0.493076
303,0.9374,7.9047,4.4014,2.3002,15.5436,0.457396
304,0.9915,7.8106,4.3891,2.3016,15.4928,0.10751
305,0.9382,7.8738,4.4229,2.318,15.5529,0.038958
306,0.9506,7.8879,4.4418,2.3452,15.6255,0.053647
307,0.8968,7.8345,4.3707,2.3259,15.4278,0.075702
308,0.9455,7.7844,4.3639,2.3215,15.4153,0.101567
309,0.9458,7.928,4.4747,2.3143,15.6628,0.06405
310,0.9352,7.8552,4.3588,2.3442,15.4934,0.067376
311,0.8923,7.8531,4.4415,2.3075,15.4944,0.040805
312,0.9744,8.188,4.3918,2.3232,15.8774,0.071156
313,0.9842,7.9136,4.4232,2.3013,15.6224,0.235099
314,0.9906,7.8478,4.3568,2.3033,15.4986,0.242243
315,0.9124,7.9406,4.4253,2.2981,15.5764,0.23077
316,0.9502,7.8499,4.3813,2.3286,15.51,0.264677
317,0.9389,7.8628,4.3991,2.333,15.5338,0.23925
318,0.9511,7.8325,4.3799,2.3313,15.4948,0.248734
319,0.9224,7.8577,4.4603,2.3392,15.5796,0.151756
320,0.9509,7.8185,4.4081,2.3534,15.5308,0.177046
321,0.9425,7.8243,4.4545,2.3051,15.5264,0.038556
322,0.9887,7.7639,4.4168,2.2808,15.4502,0.028635
323,0.9607,7.8138,4.404,2.3084,15.4868,0.02902
324,0.9461,7.7298,4.4196,2.2997,15.3951,0.029066
325,0.925,7.8135,4.3881,2.3174,15.444,0.034519
326,0.9604,7.8084,4.3782,2.3317,15.4786,0.036952
327,0.9147,7.833,4.4525,2.3335,15.5338,0.034228
328,0.94,7.8617,4.4239,2.339,15.5645,0.030601
329,0.9397,7.752,4.4716,2.3546,15.5179,0.035677
330,0.9226,7.8034,4.5032,2.3153,15.5445,0.032894
331,0.9146,8.3663,4.4677,2.3042,16.0528,0.030652
332,0.9728,7.7872,4.4765,2.2995,15.536,0.022825
333,0.9973,7.8271,4.4301,2.2984,15.5529,0.021634
334,0.9966,7.951,4.4013,2.2964,15.6454,0.022823
335,0.9086,7.8627,4.4609,2.3102,15.5424,0.027553
336,0.95,7.8801,4.4244,2.3267,15.5813,0.031792
337,0.9265,7.8098,4.4604,2.3265,15.5232,0.028477
338,0.9567,8.0625,4.4033,2.3311,15.7536,0.024487
339,0.9135,7.8664,4.4115,2.3391,15.5304,0.019523
340,0.9635,7.8092,4.4007,2.3317,15.5051,0.025095
341,0.9301,7.8277,4.4931,2.3434,15.5943,0.036423
342,0.9573,7.8621,4.4242,2.3074,15.551,0.033968
343,0.9376,7.8907,4.4578,2.3051,15.5913,0.033529
344,0.9832,7.8361,4.3705,2.3078,15.4976,0.022258
345,0.9673,7.8477,4.5268,2.2944,15.6362,0.017422
346,0.9445,7.8016,4.4105,2.3378,15.4943,0.022135
347,0.9359,7.9841,4.4127,2.3346,15.6673,0.028
348,0.9519,7.9254,4.4632,2.3275,15.668,0.029995
349,0.9277,7.8202,4.3578,2.3301,15.4358,0.033192
350,0.961,7.8451,4.4034,2.3602,15.5697,0.023525
351,0.91,7.7718,4.4483,2.3271,15.4573,0.013377
352,0.933,7.8434,4.4775,2.3168,15.5707,0.02339
353,0.9488,7.8855,4.4257,2.3035,15.5636,0.024108
354,0.9601,7.7655,4.4384,2.2962,15.4603,0.031093
355,0.9181,7.7906,4.4682,2.3012,15.478,0.030796
356,0.9484,7.9157,4.4362,2.2986,15.5989,0.033835
357,0.9626,7.8983,4.4623,2.3361,15.6593,0.02409
358,0.9261,7.7349,4.4537,2.3264,15.4411,0.024421
359,0.8897,7.8598,4.4747,2.3388,15.563,0.023476
360,0.9493,7.7961,4.4066,2.3263,15.4784,0.019203
361,0.9411,7.8448,4.4432,2.3356,15.5647,0.028811
362,0.9519,7.7852,4.4241,2.3012,15.4624,0.0232
363,0.9371,7.8663,4.4773,2.3088,15.5896,0.023421
364,0.982,7.7836,4.4934,2.2835,15.5426,0.017615
365,0.9687,7.9741,4.4847,2.3044,15.7318,0.018383
366,0.9677,7.916,4.4195,2.3096,15.6129,0.051504
367,0.9231,7.8695,4.4182,2.3375,15.5483,0.047207
368,0.9572,7.8616,4.4846,2.3317,15.6352,0.042786
369,0.9576,7.7525,4.3946,2.3312,15.436,0.036282
370,0.959,7.7801,4.4295,2.3258,15.4943,0.063099
371,0.9102,7.8628,4.4246,2.358,15.5557,0.060608
372,0.9559,7.8638,4.5015,2.3475,15.6688,0.065493
373,0.956,7.8196,4.5633,2.3115,15.6503,0.059966
374,0.9849,7.7874,4.471,2.2968,15.5401,0.078935
375,0.9479,7.7878,4.4374,2.302,15.4752,0.08689
376,0.9574,7.8849,4.5065,2.312,15.6607,0.082721
377,0.9429,7.7615,4.3776,2.3173,15.3994,0.085694
378,0.9616,7.8345,4.4175,2.3238,15.5375,0.071475
379,0.9088,7.873,4.4324,2.3239,15.5381,0.071283
380,0.9588,7.8706,4.5273,2.328,15.6847,0.093713
381,0.948,7.7961,4.4119,2.3302,15.4861,0.085524
382,0.943,7.8675,4.5096,2.3343,15.6543,0.067299
383,0.8823,7.787,4.4371,2.3059,15.4123,0.090415
384,0.9642,7.8487,4.4961,2.2935,15.6025,0.07985
385,0.9943,7.8201,4.4406,2.3093,15.5643,0.978846
386,0.9766,7.8802,4.6133,2.4553,15.9254,0.999997
387,0.9854,7.8282,4.4134,2.3049,15.5319,0.999983
388,0.9198,7.9552,4.33,2.3404,15.5454,0.999976
389,0.9437,7.8876,4.4279,2.3404,15.5996,0.99968
390,0.9494,7.9244,4.461,2.3378,15.6725,0.999775
391,0.9168,8.1245,4.4379,2.3195,15.7987,0.99809
392,0.9213,7.9471,4.4528,2.3319,15.6531,0.991687
393,0.9472,7.784,4.421,2.3226,15.4748,0.922244
